split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
test,stgcn_bilstm,1179224_B,58144,chunked,1.996898423996754,0.18725109100341797,0.6143488831729615,ok
test,stgcn_bilstm,1179224_B,58144,streaming,1.7664421430090442,5.5070085525512695,0.6065649588157335,ok
test,stgcn_bilstm,1180022_A,1510,chunked,0.053834807011298835,0.1470026969909668,0.6239863410016235,ok
test,stgcn_bilstm,1180022_A,1510,streaming,0.043018781987484545,0.1997065544128418,0.6470764589792096,ok
test,stgcn_bilstm,1180022_B,1510,chunked,0.053557149018161,0.14636993408203125,0.3333333333333333,ok
test,stgcn_bilstm,1180022_B,1510,streaming,0.04295202501816675,0.1997065544128418,0.3333333333333333,ok
test,stgcn_bilstm,1187154_A,8088,chunked,0.278193487029057,0.15046167373657227,0.3333333333333333,ok
test,stgcn_bilstm,1187154_A,8088,streaming,0.2422375159803778,0.8152604103088379,0.3333333333333333,ok
test,stgcn_bilstm,1187154_B,8088,chunked,0.2796840909868479,0.15053510665893555,0.6465531579226019,ok
test,stgcn_bilstm,1187154_B,8088,streaming,0.24274894397240132,0.8152604103088379,0.6553016543428701,ok
test,stgcn_bilstm,1583214_A,36575,chunked,1.2509595489827916,0.17070293426513672,0.6896275271751809,ok
test,stgcn_bilstm,1583214_A,36575,streaming,1.139857165981084,3.4850873947143555,0.6965864115854649,ok
test,stgcn_bilstm,1583214_B,36575,chunked,1.2532208469929174,0.1710214614868164,0.6090757477262704,ok
test,stgcn_bilstm,1583214_B,36575,streaming,1.1401686940225773,3.4850873947143555,0.6243298175436519,ok
test,stgcn_bilstm,1984213_B,3248,chunked,0.11310774099547416,0.1472482681274414,0.5577099248037064,ok
test,stgcn_bilstm,1984213_B,3248,streaming,0.09606431901920587,0.36419200897216797,0.5621864103204036,ok
test,stgcn_bilstm,1205821_A,45180,chunked,1.5463737639947794,0.17795228958129883,0.5973291840682583,ok
test,stgcn_bilstm,1205821_A,45180,streaming,1.3948878410155885,4.291553974151611,0.5983806573238314,ok
test,stgcn_bilstm,1205821_B,45180,chunked,1.544379664992448,0.1788034439086914,0.7093126210210903,ok
test,stgcn_bilstm,1205821_B,45180,streaming,1.3959188369917683,4.291936874389648,0.7170908274283784,ok
test,stgcn_bilstm,1418858_A,28432,chunked,0.9745483720325865,0.16603755950927734,0.68015841364164,ok
test,stgcn_bilstm,1418858_A,28432,streaming,0.8612521740142256,2.725076198577881,0.6884094645788367,ok
test,stgcn_bilstm,1418858_B,28432,chunked,0.9746506880037487,0.16668081283569336,0.676227316703541,ok
test,stgcn_bilstm,1418858_B,28432,streaming,0.8620190750225447,2.7259063720703125,0.6964793229546227,ok
test,stgcn_bilstm,1419122_A,1687,chunked,0.06030469195684418,0.1466846466064453,0.3333333333333333,ok
test,stgcn_bilstm,1419122_A,1687,streaming,0.047886005020700395,0.21632957458496094,0.3333333333333333,ok
test,stgcn_bilstm,1419122_B,1687,chunked,0.06020579597679898,0.14638566970825195,0.6673908394591955,ok
test,stgcn_bilstm,1419122_B,1687,streaming,0.047725595999509096,0.21632957458496094,0.6783433558311104,ok
test,stgcn_transformer,1179868_A,24068,chunked,0.2605276590329595,0.11936044692993164,0.718181392938417,ok
